sample_id,stratum,key_pos,token,layer,score_pre
0,chat/en,553, the,1,
0,chat/en,553, the,2,
0,chat/en,553, the,3,21.411
0,chat/en,553, the,5,
0,chat/en,553, the,6,3.411
0,chat/en,553, the,7,2.471
0,chat/en,553, the,8,0.918
0,chat/en,553, the,10,1.793
0,chat/en,553, the,11,
0,chat/en,553, the,12,
0,chat/en,553, the,13,
0,chat/en,553, the,15,
0,chat/en,553, the,16,
0,chat/en,553, the,17,
0,chat/en,553, the,18,
0,chat/en,553, the,20,
0,chat/en,553, the,21,
0,chat/en,553, the,22,
0,chat/en,553, the,23,
0,chat/en,553, the,25,
0,chat/en,553, the,26,
0,chat/en,553, the,27,
0,chat/en,553, the,28,
0,chat/en,553, the,30,
0,chat/en,553, the,31,
0,chat/en,553, the,32,
0,chat/en,553, the,33,
0,chat/en,567, To,0,6.174
0,chat/en,567, To,1,4.471
0,chat/en,567, To,2,4.337
0,chat/en,567, To,3,20.971
0,chat/en,567, To,5,
0,chat/en,567, To,6,5.111
0,chat/en,567, To,7,
0,chat/en,567, To,8,
0,chat/en,567, To,10,
0,chat/en,567, To,11,
0,chat/en,567, To,12,
0,chat/en,567, To,13,2.42
0,chat/en,567, To,15,4.767
0,chat/en,567, To,16,
0,chat/en,567, To,17,
0,chat/en,567, To,18,
0,chat/en,567, To,20,
0,chat/en,567, To,21,
0,chat/en,567, To,22,
0,chat/en,567, To,23,1.405
0,chat/en,567, To,25,
0,chat/en,567, To,26,
0,chat/en,567, To,27,
0,chat/en,567, To,28,1.79
0,chat/en,567, To,30,
0,chat/en,567, To,31,
0,chat/en,567, To,32,
0,chat/en,567, To,33,
0,chat/en,574, for,0,21.032
0,chat/en,574, for,1,21.559
0,chat/en,574, for,2,22.025
0,chat/en,574, for,3,8.941
0,chat/en,574, for,5,
0,chat/en,574, for,6,
0,chat/en,574, for,7,
0,chat/en,574, for,8,
0,chat/en,574, for,10,
0,chat/en,574, for,11,
0,chat/en,574, for,12,2.835
0,chat/en,574, for,13,2.165
0,chat/en,574, for,15,
0,chat/en,574, for,16,2.859
0,chat/en,574, for,17,0.781
0,chat/en,574, for,18,1.74
0,chat/en,574, for,20,9.029
0,chat/en,574, for,21,2.681
0,chat/en,574, for,22,
0,chat/en,574, for,23,
0,chat/en,574, for,25,
0,chat/en,574, for,26,
0,chat/en,574, for,27,
0,chat/en,574, for,28,
0,chat/en,574, for,30,
0,chat/en,574, for,31,
0,chat/en,574, for,32,
0,chat/en,574, for,33,
1,named_entity_recognition/en,259," """,0,
1,named_entity_recognition/en,259," """,1,
1,named_entity_recognition/en,259," """,2,
1,named_entity_recognition/en,259," """,3,
1,named_entity_recognition/en,259," """,5,
1,named_entity_recognition/en,259," """,6,
1,named_entity_recognition/en,259," """,7,
1,named_entity_recognition/en,259," """,8,
1,named_entity_recognition/en,259," """,10,1.886
1,named_entity_recognition/en,259," """,11,1.924
1,named_entity_recognition/en,259," """,12,1.413
1,named_entity_recognition/en,259," """,13,
1,named_entity_recognition/en,259," """,15,2.559
1,named_entity_recognition/en,259," """,16,3.578
1,named_entity_recognition/en,259," """,17,4.137
1,named_entity_recognition/en,259," """,18,2.111
1,named_entity_recognition/en,259," """,20,4.557
1,named_entity_recognition/en,259," """,21,4.765
1,named_entity_recognition/en,259," """,22,5.568
1,named_entity_recognition/en,259," """,23,3.868
1,named_entity_recognition/en,259," """,25,14.017
1,named_entity_recognition/en,259," """,26,10.411
1,named_entity_recognition/en,259," """,27,14.32
1,named_entity_recognition/en,259," """,28,13.07
1,named_entity_recognition/en,259," """,30,17.685
1,named_entity_recognition/en,259," """,31,14.358
1,named_entity_recognition/en,259," """,32,15.551
1,named_entity_recognition/en,259," """,33,13.796
1,named_entity_recognition/en,506,"""),",0,4.775
1,named_entity_recognition/en,506,"""),",1,6.823
1,named_entity_recognition/en,506,"""),",2,16.989
1,named_entity_recognition/en,506,"""),",3,7.961
1,named_entity_recognition/en,506,"""),",5,23.447
1,named_entity_recognition/en,506,"""),",6,14.289
1,named_entity_recognition/en,506,"""),",7,8.078
1,named_entity_recognition/en,506,"""),",8,3.665
1,named_entity_recognition/en,506,"""),",10,3.852
1,named_entity_recognition/en,506,"""),",11,1.646
1,named_entity_recognition/en,506,"""),",12,2.605
1,named_entity_recognition/en,506,"""),",13,3.026
1,named_entity_recognition/en,506,"""),",15,
1,named_entity_recognition/en,506,"""),",16,
1,named_entity_recognition/en,506,"""),",17,
1,named_entity_recognition/en,506,"""),",18,
1,named_entity_recognition/en,506,"""),",20,
1,named_entity_recognition/en,506,"""),",21,
1,named_entity_recognition/en,506,"""),",22,
1,named_entity_recognition/en,506,"""),",23,
1,named_entity_recognition/en,506,"""),",25,
1,named_entity_recognition/en,506,"""),",26,
1,named_entity_recognition/en,506,"""),",27,
1,named_entity_recognition/en,506,"""),",28,
1,named_entity_recognition/en,506,"""),",30,
1,named_entity_recognition/en,506,"""),",31,
1,named_entity_recognition/en,506,"""),",32,
1,named_entity_recognition/en,506,"""),",33,
1,named_entity_recognition/en,507," (""",0,10.21
1,named_entity_recognition/en,507," (""",1,9.838
1,named_entity_recognition/en,507," (""",2,14.997
1,named_entity_recognition/en,507," (""",3,9.103
1,named_entity_recognition/en,507," (""",5,3.006
1,named_entity_recognition/en,507," (""",6,4.707
1,named_entity_recognition/en,507," (""",7,
1,named_entity_recognition/en,507," (""",8,
1,named_entity_recognition/en,507," (""",10,
1,named_entity_recognition/en,507," (""",11,1.602
1,named_entity_recognition/en,507," (""",12,
1,named_entity_recognition/en,507," (""",13,
1,named_entity_recognition/en,507," (""",15,
1,named_entity_recognition/en,507," (""",16,
1,named_entity_recognition/en,507," (""",17,
1,named_entity_recognition/en,507," (""",18,
1,named_entity_recognition/en,507," (""",20,
1,named_entity_recognition/en,507," (""",21,
1,named_entity_recognition/en,507," (""",22,
1,named_entity_recognition/en,507," (""",23,
1,named_entity_recognition/en,507," (""",25,
1,named_entity_recognition/en,507," (""",26,
1,named_entity_recognition/en,507," (""",27,
1,named_entity_recognition/en,507," (""",28,
1,named_entity_recognition/en,507," (""",30,
1,named_entity_recognition/en,507," (""",31,
1,named_entity_recognition/en,507," (""",32,
1,named_entity_recognition/en,507," (""",33,
1,named_entity_recognition/en,508,described,0,
1,named_entity_recognition/en,508,described,1,
1,named_entity_recognition/en,508,described,2,12.076
1,named_entity_recognition/en,508,described,3,6.254
1,named_entity_recognition/en,508,described,5,3.504
1,named_entity_recognition/en,508,described,6,21.804
1,named_entity_recognition/en,508,described,7,4.498
1,named_entity_recognition/en,508,described,8,7.977
1,named_entity_recognition/en,508,described,10,6.795
1,named_entity_recognition/en,508,described,11,
1,named_entity_recognition/en,508,described,12,5.657
1,named_entity_recognition/en,508,described,13,6.016
1,named_entity_recognition/en,508,described,15,1.552
1,named_entity_recognition/en,508,described,16,
1,named_entity_recognition/en,508,described,17,1.812
1,named_entity_recognition/en,508,described,18,4.781
1,named_entity_recognition/en,508,described,20,3.96
1,named_entity_recognition/en,508,described,21,
1,named_entity_recognition/en,508,described,22,
1,named_entity_recognition/en,508,described,23,2.981
1,named_entity_recognition/en,508,described,25,
1,named_entity_recognition/en,508,described,26,
1,named_entity_recognition/en,508,described,27,
1,named_entity_recognition/en,508,described,28,
1,named_entity_recognition/en,508,described,30,
1,named_entity_recognition/en,508,described,31,
1,named_entity_recognition/en,508,described,32,
1,named_entity_recognition/en,508,described,33,
1,named_entity_recognition/en,510," """,0,7.493
1,named_entity_recognition/en,510," """,1,6.984
1,named_entity_recognition/en,510," """,2,
1,named_entity_recognition/en,510," """,3,
1,named_entity_recognition/en,510," """,5,
1,named_entity_recognition/en,510," """,6,
1,named_entity_recognition/en,510," """,7,
1,named_entity_recognition/en,510," """,8,
1,named_entity_recognition/en,510," """,10,
1,named_entity_recognition/en,510," """,11,
1,named_entity_recognition/en,510," """,12,
1,named_entity_recognition/en,510," """,13,
1,named_entity_recognition/en,510," """,15,
1,named_entity_recognition/en,510," """,16,
1,named_entity_recognition/en,510," """,17,
1,named_entity_recognition/en,510," """,18,
1,named_entity_recognition/en,510," """,20,
1,named_entity_recognition/en,510," """,21,
1,named_entity_recognition/en,510," """,22,
1,named_entity_recognition/en,510," """,23,
1,named_entity_recognition/en,510," """,25,
1,named_entity_recognition/en,510," """,26,
1,named_entity_recognition/en,510," """,27,
1,named_entity_recognition/en,510," """,28,
1,named_entity_recognition/en,510," """,30,
1,named_entity_recognition/en,510," """,31,
1,named_entity_recognition/en,510," """,32,
1,named_entity_recognition/en,510," """,33,
1,named_entity_recognition/en,557,split,0,
1,named_entity_recognition/en,557,split,1,
1,named_entity_recognition/en,557,split,2,7.665
1,named_entity_recognition/en,557,split,3,
1,named_entity_recognition/en,557,split,5,
1,named_entity_recognition/en,557,split,6,
1,named_entity_recognition/en,557,split,7,
1,named_entity_recognition/en,557,split,8,
1,named_entity_recognition/en,557,split,10,
1,named_entity_recognition/en,557,split,11,
1,named_entity_recognition/en,557,split,12,
1,named_entity_recognition/en,557,split,13,
1,named_entity_recognition/en,557,split,15,
1,named_entity_recognition/en,557,split,16,
1,named_entity_recognition/en,557,split,17,
1,named_entity_recognition/en,557,split,18,
1,named_entity_recognition/en,557,split,20,
1,named_entity_recognition/en,557,split,21,
1,named_entity_recognition/en,557,split,22,
1,named_entity_recognition/en,557,split,23,
1,named_entity_recognition/en,557,split,25,
1,named_entity_recognition/en,557,split,26,
1,named_entity_recognition/en,557,split,27,
1,named_entity_recognition/en,557,split,28,
1,named_entity_recognition/en,557,split,30,
1,named_entity_recognition/en,557,split,31,
1,named_entity_recognition/en,557,split,32,
1,named_entity_recognition/en,557,split,33,
1,named_entity_recognition/en,572," """,0,14.083
1,named_entity_recognition/en,572," """,1,14.729
1,named_entity_recognition/en,572," """,2,8.385
1,named_entity_recognition/en,572," """,3,5.771
1,named_entity_recognition/en,572," """,5,3.972
1,named_entity_recognition/en,572," """,6,4.869
1,named_entity_recognition/en,572," """,7,4.618
1,named_entity_recognition/en,572," """,8,
1,named_entity_recognition/en,572," """,10,
1,named_entity_recognition/en,572," """,11,
1,named_entity_recognition/en,572," """,12,
1,named_entity_recognition/en,572," """,13,
1,named_entity_recognition/en,572," """,15,
1,named_entity_recognition/en,572," """,16,
1,named_entity_recognition/en,572," """,17,
1,named_entity_recognition/en,572," """,18,
1,named_entity_recognition/en,572," """,20,
1,named_entity_recognition/en,572," """,21,
1,named_entity_recognition/en,572," """,22,
1,named_entity_recognition/en,572," """,23,
1,named_entity_recognition/en,572," """,25,
1,named_entity_recognition/en,572," """,26,
1,named_entity_recognition/en,572," """,27,
1,named_entity_recognition/en,572," """,28,
1,named_entity_recognition/en,572," """,30,
1,named_entity_recognition/en,572," """,31,
1,named_entity_recognition/en,572," """,32,
1,named_entity_recognition/en,572," """,33,
1,named_entity_recognition/en,574,ry,0,16.455
1,named_entity_recognition/en,574,ry,1,14.603
1,named_entity_recognition/en,574,ry,2,23.681
1,named_entity_recognition/en,574,ry,3,18.365
1,named_entity_recognition/en,574,ry,5,3.432
1,named_entity_recognition/en,574,ry,6,26.225
1,named_entity_recognition/en,574,ry,7,4.344
1,named_entity_recognition/en,574,ry,8,8.443
1,named_entity_recognition/en,574,ry,10,7.171
1,named_entity_recognition/en,574,ry,11,
1,named_entity_recognition/en,574,ry,12,9.666
1,named_entity_recognition/en,574,ry,13,5.427
1,named_entity_recognition/en,574,ry,15,2.132
1,named_entity_recognition/en,574,ry,16,2.845
1,named_entity_recognition/en,574,ry,17,1.333
1,named_entity_recognition/en,574,ry,18,7.083
1,named_entity_recognition/en,574,ry,20,6.816
1,named_entity_recognition/en,574,ry,21,8.854
1,named_entity_recognition/en,574,ry,22,2.888
1,named_entity_recognition/en,574,ry,23,3.389
1,named_entity_recognition/en,574,ry,25,
1,named_entity_recognition/en,574,ry,26,1.494
1,named_entity_recognition/en,574,ry,27,
1,named_entity_recognition/en,574,ry,28,
1,named_entity_recognition/en,574,ry,30,
1,named_entity_recognition/en,574,ry,31,
1,named_entity_recognition/en,574,ry,32,
1,named_entity_recognition/en,574,ry,33,0.944
1,named_entity_recognition/en,637," (""",0,19.407
1,named_entity_recognition/en,637," (""",1,22.445
1,named_entity_recognition/en,637," (""",2,31.216
1,named_entity_recognition/en,637," (""",3,12.828
1,named_entity_recognition/en,637," (""",5,7.994
1,named_entity_recognition/en,637," (""",6,10.179
1,named_entity_recognition/en,637," (""",7,3.356
1,named_entity_recognition/en,637," (""",8,
1,named_entity_recognition/en,637," (""",10,2.573
1,named_entity_recognition/en,637," (""",11,
1,named_entity_recognition/en,637," (""",12,1.736
1,named_entity_recognition/en,637," (""",13,2.893
1,named_entity_recognition/en,637," (""",15,
1,named_entity_recognition/en,637," (""",16,
1,named_entity_recognition/en,637," (""",17,
1,named_entity_recognition/en,637," (""",18,
1,named_entity_recognition/en,637," (""",20,
1,named_entity_recognition/en,637," (""",21,
1,named_entity_recognition/en,637," (""",22,
1,named_entity_recognition/en,637," (""",23,2.488
1,named_entity_recognition/en,637," (""",25,
1,named_entity_recognition/en,637," (""",26,
1,named_entity_recognition/en,637," (""",27,
1,named_entity_recognition/en,637," (""",28,
1,named_entity_recognition/en,637," (""",30,1.708
1,named_entity_recognition/en,637," (""",31,
1,named_entity_recognition/en,637," (""",32,
1,named_entity_recognition/en,637," (""",33,
1,named_entity_recognition/en,638,split,0,14.79
1,named_entity_recognition/en,638,split,1,15.98
1,named_entity_recognition/en,638,split,2,31.371
1,named_entity_recognition/en,638,split,3,21.796
1,named_entity_recognition/en,638,split,5,
1,named_entity_recognition/en,638,split,6,33.519
1,named_entity_recognition/en,638,split,7,4.238
1,named_entity_recognition/en,638,split,8,9.855
1,named_entity_recognition/en,638,split,10,7.891
1,named_entity_recognition/en,638,split,11,
1,named_entity_recognition/en,638,split,12,10.689
1,named_entity_recognition/en,638,split,13,7.31
1,named_entity_recognition/en,638,split,15,
1,named_entity_recognition/en,638,split,16,
1,named_entity_recognition/en,638,split,17,
1,named_entity_recognition/en,638,split,18,3.629
1,named_entity_recognition/en,638,split,20,1.687
1,named_entity_recognition/en,638,split,21,2.321
1,named_entity_recognition/en,638,split,22,
1,named_entity_recognition/en,638,split,23,4.254
1,named_entity_recognition/en,638,split,25,1.276
1,named_entity_recognition/en,638,split,26,1.677
1,named_entity_recognition/en,638,split,27,
1,named_entity_recognition/en,638,split,28,
1,named_entity_recognition/en,638,split,30,
1,named_entity_recognition/en,638,split,31,
1,named_entity_recognition/en,638,split,32,
1,named_entity_recognition/en,638,split,33,
2,named_entity_recognition/es,226, as,0,
2,named_entity_recognition/es,226, as,1,
2,named_entity_recognition/es,226, as,2,
2,named_entity_recognition/es,226, as,3,
2,named_entity_recognition/es,226, as,5,
2,named_entity_recognition/es,226, as,6,
2,named_entity_recognition/es,226, as,7,
2,named_entity_recognition/es,226, as,8,
2,named_entity_recognition/es,226, as,10,3.375
2,named_entity_recognition/es,226, as,11,1.832
2,named_entity_recognition/es,226, as,12,2.963
2,named_entity_recognition/es,226, as,13,4.383
2,named_entity_recognition/es,226, as,15,4.911
2,named_entity_recognition/es,226, as,16,6.108
2,named_entity_recognition/es,226, as,17,3.618
2,named_entity_recognition/es,226, as,18,6.48
2,named_entity_recognition/es,226, as,20,11.001
2,named_entity_recognition/es,226, as,21,11.721
2,named_entity_recognition/es,226, as,22,18.323
2,named_entity_recognition/es,226, as,23,11.185
2,named_entity_recognition/es,226, as,25,10.461
2,named_entity_recognition/es,226, as,26,19.856
2,named_entity_recognition/es,226, as,27,27.877
2,named_entity_recognition/es,226, as,28,18.964
2,named_entity_recognition/es,226, as,30,21.886
2,named_entity_recognition/es,226, as,31,25.908
2,named_entity_recognition/es,226, as,32,21.094
2,named_entity_recognition/es,226, as,33,20.21
2,named_entity_recognition/es,249, token,0,
2,named_entity_recognition/es,249, token,1,
2,named_entity_recognition/es,249, token,2,
2,named_entity_recognition/es,249, token,3,
2,named_entity_recognition/es,249, token,5,4.016
2,named_entity_recognition/es,249, token,6,
2,named_entity_recognition/es,249, token,7,
2,named_entity_recognition/es,249, token,8,
2,named_entity_recognition/es,249, token,10,
2,named_entity_recognition/es,249, token,11,
2,named_entity_recognition/es,249, token,12,
2,named_entity_recognition/es,249, token,13,
2,named_entity_recognition/es,249, token,15,
2,named_entity_recognition/es,249, token,16,
2,named_entity_recognition/es,249, token,17,
2,named_entity_recognition/es,249, token,18,
2,named_entity_recognition/es,249, token,20,
2,named_entity_recognition/es,249, token,21,
2,named_entity_recognition/es,249, token,22,
2,named_entity_recognition/es,249, token,23,
2,named_entity_recognition/es,249, token,25,
2,named_entity_recognition/es,249, token,26,
2,named_entity_recognition/es,249, token,27,
2,named_entity_recognition/es,249, token,28,
2,named_entity_recognition/es,249, token,30,
2,named_entity_recognition/es,249, token,31,
2,named_entity_recognition/es,249, token,32,
2,named_entity_recognition/es,249, token,33,
2,named_entity_recognition/es,286,model,0,9.513
2,named_entity_recognition/es,286,model,1,10.937
2,named_entity_recognition/es,286,model,2,10.289
2,named_entity_recognition/es,286,model,3,3.873
2,named_entity_recognition/es,286,model,5,5.966
2,named_entity_recognition/es,286,model,6,
2,named_entity_recognition/es,286,model,7,1.891
2,named_entity_recognition/es,286,model,8,1.827
2,named_entity_recognition/es,286,model,10,
2,named_entity_recognition/es,286,model,11,
2,named_entity_recognition/es,286,model,12,1.346
2,named_entity_recognition/es,286,model,13,2.827
2,named_entity_recognition/es,286,model,15,2.864
2,named_entity_recognition/es,286,model,16,
2,named_entity_recognition/es,286,model,17,
2,named_entity_recognition/es,286,model,18,
2,named_entity_recognition/es,286,model,20,2.046
2,named_entity_recognition/es,286,model,21,2.844
2,named_entity_recognition/es,286,model,22,1.352
2,named_entity_recognition/es,286,model,23,3.922
2,named_entity_recognition/es,286,model,25,5.758
2,named_entity_recognition/es,286,model,26,1.917
2,named_entity_recognition/es,286,model,27,6.488
2,named_entity_recognition/es,286,model,28,6.775
2,named_entity_recognition/es,286,model,30,2.782
2,named_entity_recognition/es,286,model,31,7.74
2,named_entity_recognition/es,286,model,32,1.673
2,named_entity_recognition/es,286,model,33,0.873
2,named_entity_recognition/es,499," """,0,
2,named_entity_recognition/es,499," """,1,
2,named_entity_recognition/es,499," """,2,
2,named_entity_recognition/es,499," """,3,6.629
2,named_entity_recognition/es,499," """,5,
2,named_entity_recognition/es,499," """,6,
2,named_entity_recognition/es,499," """,7,
2,named_entity_recognition/es,499," """,8,
2,named_entity_recognition/es,499," """,10,
2,named_entity_recognition/es,499," """,11,
2,named_entity_recognition/es,499," """,12,
2,named_entity_recognition/es,499," """,13,
2,named_entity_recognition/es,499," """,15,
2,named_entity_recognition/es,499," """,16,
2,named_entity_recognition/es,499," """,17,
2,named_entity_recognition/es,499," """,18,
2,named_entity_recognition/es,499," """,20,
2,named_entity_recognition/es,499," """,21,
2,named_entity_recognition/es,499," """,22,
2,named_entity_recognition/es,499," """,23,
2,named_entity_recognition/es,499," """,25,
2,named_entity_recognition/es,499," """,26,
2,named_entity_recognition/es,499," """,27,
2,named_entity_recognition/es,499," """,28,
2,named_entity_recognition/es,499," """,30,
2,named_entity_recognition/es,499," """,31,
2,named_entity_recognition/es,499," """,32,
2,named_entity_recognition/es,499," """,33,
2,named_entity_recognition/es,501,"""),",0,2.692
2,named_entity_recognition/es,501,"""),",1,3.806
2,named_entity_recognition/es,501,"""),",2,
2,named_entity_recognition/es,501,"""),",3,
2,named_entity_recognition/es,501,"""),",5,
2,named_entity_recognition/es,501,"""),",6,2.393
2,named_entity_recognition/es,501,"""),",7,5.757
2,named_entity_recognition/es,501,"""),",8,
2,named_entity_recognition/es,501,"""),",10,
2,named_entity_recognition/es,501,"""),",11,
2,named_entity_recognition/es,501,"""),",12,
2,named_entity_recognition/es,501,"""),",13,
2,named_entity_recognition/es,501,"""),",15,
2,named_entity_recognition/es,501,"""),",16,
2,named_entity_recognition/es,501,"""),",17,
2,named_entity_recognition/es,501,"""),",18,
2,named_entity_recognition/es,501,"""),",20,
2,named_entity_recognition/es,501,"""),",21,
2,named_entity_recognition/es,501,"""),",22,
2,named_entity_recognition/es,501,"""),",23,
2,named_entity_recognition/es,501,"""),",25,
2,named_entity_recognition/es,501,"""),",26,
2,named_entity_recognition/es,501,"""),",27,
2,named_entity_recognition/es,501,"""),",28,
2,named_entity_recognition/es,501,"""),",30,
2,named_entity_recognition/es,501,"""),",31,
2,named_entity_recognition/es,501,"""),",32,
2,named_entity_recognition/es,501,"""),",33,
2,named_entity_recognition/es,505," """,0,2.226
2,named_entity_recognition/es,505," """,1,
2,named_entity_recognition/es,505," """,2,
2,named_entity_recognition/es,505," """,3,10.731
2,named_entity_recognition/es,505," """,5,
2,named_entity_recognition/es,505," """,6,8.744
2,named_entity_recognition/es,505," """,7,
2,named_entity_recognition/es,505," """,8,
2,named_entity_recognition/es,505," """,10,
2,named_entity_recognition/es,505," """,11,
2,named_entity_recognition/es,505," """,12,
2,named_entity_recognition/es,505," """,13,
2,named_entity_recognition/es,505," """,15,
2,named_entity_recognition/es,505," """,16,
2,named_entity_recognition/es,505," """,17,
2,named_entity_recognition/es,505," """,18,
2,named_entity_recognition/es,505," """,20,
2,named_entity_recognition/es,505," """,21,
2,named_entity_recognition/es,505," """,22,
2,named_entity_recognition/es,505," """,23,
2,named_entity_recognition/es,505," """,25,
2,named_entity_recognition/es,505," """,26,
2,named_entity_recognition/es,505," """,27,
